,totalbuts,%total,totalbuts / mj,butstirs,%tirs,tirsbuts / mj,butspenalty,%penalty,penaltybuts / mj,mj,Score LNH *,Temps jeu
JUND Hugo,67 / 95,"70,53 %","2,23",67 / 95,"70,53 %","2,23",0 / 0,"0,00 %","0,00",30,145.7,20:46:18
MAQUEDA PENO Jorge,67 / 98,"68,37 %","2,91",67 / 98,"68,37 %","2,91",0 / 0,"0,00 %","0,00",23,201.8,13:09:56
IVIC Sime,67 / 116,"57,76 %","2,58",63 / 112,"56,25 %","2,42",4 / 4,"100,00 %","0,15",26,134.0,09:01:59
LENNE Arthur,65 / 81,"80,25 %","2,24",65 / 81,"80,25 %","2,24",0 / 0,"0,00 %","0,00",29,143.6,13:29:53
CARDINAL Youenn,65 / 104,"62,50 %","2,17",40 / 67,"59,70 %","1,33",25 / 37,"67,57 %","0,83",30,132.9,12:34:44
LABIGANG Xavier,64 / 84,"76,19 %","2,13",64 / 84,"76,19 %","2,13",0 / 0,"0,00 %","0,00",30,136.0,12:33:57
BROUZET Hugo,64 / 86,"74,42 %","2,13",64 / 86,"74,42 %","2,13",0 / 0,"0,00 %","0,00",30,126.0,15:43:16
MANCELLE Yannis,64 / 100,"64,00 %","2,21",49 / 76,"64,47 %","1,69",15 / 24,"62,50 %","0,52",29,121.8,16:39:37
BUTORAC Bruno,64 / 112,"57,14 %","2,91",61 / 108,"56,48 %","2,77",3 / 4,"75,00 %","0,14",22,165.6,11:52:25
OOMS Simon,63 / 86,"73,26 %","2,25",63 / 86,"73,26 %","2,25",0 / 0,"0,00 %","0,00",28,97.9,13:27:25
KOLAKOVIć Aleksa,63 / 107,"58,88 %","2,33",63 / 107,"58,88 %","2,33",0 / 0,"0,00 %","0,00",27,158.3,13:39:04
OPPEDISANO Axel,62 / 79,"78,48 %","2,07",31 / 39,"79,49 %","1,03",31 / 40,"77,50 %","1,03",30,122.6,05:03:10
LENNE Yanis,62 / 80,"77,50 %","3,26",62 / 79,"78,48 %","3,26",0 / 1,"0,00 %","0,00",19,127.3,09:49:35
BEN SALEM Yassine,62 / 95,"65,26 %","2,30",62 / 95,"65,26 %","2,30",0 / 0,"0,00 %","0,00",27,158.8,08:12:09
SKUBE Sebastian,62 / 100,"62,00 %","2,14",62 / 100,"62,00 %","2,14",0 / 0,"0,00 %","0,00",29,257.7,11:58:33
ROBYNS Tom,61 / 100,"61,00 %","2,03",61 / 99,"61,62 %","2,03",0 / 1,"0,00 %","0,00",30,190.8,15:00:33
HOLM Jacob Tandrup,61 / 101,"60,40 %","2,10",61 / 101,"60,40 %","2,10",0 / 0,"0,00 %","0,00",29,120.5,07:06:41
FIGUERAS Adrian,60 / 82,"73,17 %","2,40",59 / 81,"72,84 %","2,36",1 / 1,"100,00 %","0,04",25,111.2,07:08:24
